x,y
-46.6002,-2.5213
-22.347,-17.1532
-7.3165,-12.3255
7.2259,-23.6865
-23.3336,12.0452
-6.7085,7.1349
2.9884,9.9479
-22.3217,-6.2696
-22.5032,3.0722
-9.359,-1.407
2.5215,-4.4024
49.7359,-2.8153
17.7834,-3.4119
16.8224,-12.4047
15.7887,10.2789
16.9227,-18.8703
14.2449,-6.9554
4.6963,5.3994
10.4159,-13.5575
1.8658,15.8302
5.4825,-16.3627
3.536,-4.6344
8.3402,-25.1094
-46.5905,-2.5845
-21.9882,-17.478
-7.2118,-12.6532
8.1017,-24.222
-23.0286,11.7358
-6.6886,7.092
3.0323,9.898
-22.2079,-6.4361
-22.2772,2.7515
-9.16,-1.6377
3.1965,-5.2312
49.736,-2.816
17.7713,-3.4488
16.7414,-12.9123
15.7769,10.2748
16.9598,-19.3458
13.9078,-7.5458
4.7496,5.033
10.2752,-13.9565
1.2684,16.1182
4.9898,-16.7432
3.2783,-4.6368
9.0971,-25.791
-46.9579,-2.2761
-21.6168,-17.7749
-7.0771,-13.0286
8.4491,-24.4195
-22.7529,11.3936
-6.4489,6.8996
3.601,9.569
-21.9932,-6.6827
-22.1555,2.594
-8.8956,-1.9254
3.5997,-5.6535
49.7361,-2.8162
17.7662,-3.4631
16.7074,-13.5219
15.7725,10.2733
17.0014,-19.9144
13.7751,-7.7762
4.9031,4.5459
10.0797,-14.4699
1.0313,16.2252
4.4808,-17.1832
3.0141,-4.8697
9.8075,-26.4478
-47.1165,-2.1498
-21.4735,-17.8893
-7.0233,-13.1796
8.5819,-24.4961
-22.4138,11.0536
-6.1022,6.7005
4.3556,9.212
-21.7212,-6.9651
-21.9168,2.3659
-8.6196,-2.212
4.1767,-6.2668
49.7361,-2.8163
17.7636,-3.4687
16.7052,-13.8402
15.7706,10.2727
17.0203,-20.1568
13.6387,-8.2605
5.0658,4.0161
9.9884,-14.7064
0.9375,16.2627
4.2548,-17.3707
2.6165,-5.2022
10.4809,-27.0674
-47.1808,-2.0985
-20.8072,-18.0438
-6.848,-13.4948
9.0765,-24.9758
-22.2919,10.9266
-5.7403,6.4789
4.6724,9.0626
-21.4239,-7.2725
-21.6319,2.045
-8.3221,-2.4777
4.3984,-6.5052
49.7361,-2.8164
17.9054,-3.7266
16.95,-14.2629
15.7697,10.2724
17.25,-20.5664
13.6037,-8.4444
5.2473,3.4914
9.956,-14.8141
0.8984,16.2774
3.9619,-17.766
2.1238,-5.6117
11.1227,-27.6759
-47.2043,-2.0783
-20.5585,-18.0939
-6.6372,-13.8595
9.7183,-25.5742
-22.2463,10.8795
-5.3385,6.2271
4.8108,9.0052
-21.1158,-7.5817
-21.4764,1.8812
-8.0179,-2.7703
5.0134,-6.8737
49.746,-3.0809
17.9629,-3.8377
17.2585,-14.7174
16.175,10.271
17.5614,-21.0898
13.692,-8.9183
5.4467,2.9255
10.0828,-15.1998
0.8823,16.2835
3.6615,-18.2649
1.5745,-6.0589
11.6989,-28.2405
-47.2135,-2.0704
-20.1786,-18.2662
-6.5507,-14.0072
10.417,-26.2799
-21.9808,10.6723
